protocol,inst,seed,rule,model,endpoint,epoch
random,0,0,fixed-final,MTL,hERG,60
random,0,0,fixed-final,STL,hERG,60
random,0,0,fixed-final,MTL,AMES,60
random,0,0,fixed-final,STL,AMES,60
random,0,0,fixed-final,MTL,BBB_Martins,60
random,0,0,fixed-final,STL,BBB_Martins,60
random,0,0,fixed-final,MTL,Pgp_Broccatelli,60
random,0,0,fixed-final,STL,Pgp_Broccatelli,60
random,0,0,fixed-final,MTL,CYP2C9_Veith,60
random,0,0,fixed-final,STL,CYP2C9_Veith,60
random,0,0,fixed-final,MTL,CYP2D6_Veith,60
random,0,0,fixed-final,STL,CYP2D6_Veith,60
random,0,0,fixed-final,MTL,CYP3A4_Veith,60
random,0,0,fixed-final,STL,CYP3A4_Veith,60
random,0,0,fixed-final,MTL,Bioavailability_Ma,60
random,0,0,fixed-final,STL,Bioavailability_Ma,60
random,0,0,global-vs-global,MTL,hERG,20
random,0,0,global-vs-global,STL,hERG,10
random,0,0,global-vs-global,MTL,AMES,20
random,0,0,global-vs-global,STL,AMES,10
random,0,0,global-vs-global,MTL,BBB_Martins,20
random,0,0,global-vs-global,STL,BBB_Martins,10
random,0,0,global-vs-global,MTL,Pgp_Broccatelli,20
random,0,0,global-vs-global,STL,Pgp_Broccatelli,10
random,0,0,global-vs-global,MTL,CYP2C9_Veith,20
random,0,0,global-vs-global,STL,CYP2C9_Veith,10
random,0,0,global-vs-global,MTL,CYP2D6_Veith,20
random,0,0,global-vs-global,STL,CYP2D6_Veith,10
random,0,0,global-vs-global,MTL,CYP3A4_Veith,20
random,0,0,global-vs-global,STL,CYP3A4_Veith,10
random,0,0,global-vs-global,MTL,Bioavailability_Ma,20
random,0,0,global-vs-global,STL,Bioavailability_Ma,10
random,0,0,endpoint-vs-endpoint,MTL,hERG,20
random,0,0,endpoint-vs-endpoint,STL,hERG,50
random,0,0,endpoint-vs-endpoint,MTL,AMES,20
random,0,0,endpoint-vs-endpoint,STL,AMES,10
random,0,0,endpoint-vs-endpoint,MTL,BBB_Martins,50
random,0,0,endpoint-vs-endpoint,STL,BBB_Martins,10
random,0,0,endpoint-vs-endpoint,MTL,Pgp_Broccatelli,10
random,0,0,endpoint-vs-endpoint,STL,Pgp_Broccatelli,10
random,0,0,endpoint-vs-endpoint,MTL,CYP2C9_Veith,30
random,0,0,endpoint-vs-endpoint,STL,CYP2C9_Veith,10
random,0,0,endpoint-vs-endpoint,MTL,CYP2D6_Veith,10
random,0,0,endpoint-vs-endpoint,STL,CYP2D6_Veith,10
random,0,0,endpoint-vs-endpoint,MTL,CYP3A4_Veith,30
random,0,0,endpoint-vs-endpoint,STL,CYP3A4_Veith,10
random,0,0,endpoint-vs-endpoint,MTL,Bioavailability_Ma,50
random,0,0,endpoint-vs-endpoint,STL,Bioavailability_Ma,60
random,0,0,hybrid,MTL,hERG,20
random,0,0,hybrid,STL,hERG,50
random,0,0,hybrid,MTL,AMES,20
random,0,0,hybrid,STL,AMES,10
random,0,0,hybrid,MTL,BBB_Martins,20
random,0,0,hybrid,STL,BBB_Martins,10
random,0,0,hybrid,MTL,Pgp_Broccatelli,20
random,0,0,hybrid,STL,Pgp_Broccatelli,10
random,0,0,hybrid,MTL,CYP2C9_Veith,20
random,0,0,hybrid,STL,CYP2C9_Veith,10
random,0,0,hybrid,MTL,CYP2D6_Veith,20
random,0,0,hybrid,STL,CYP2D6_Veith,10
random,0,0,hybrid,MTL,CYP3A4_Veith,20
random,0,0,hybrid,STL,CYP3A4_Veith,10
random,0,0,hybrid,MTL,Bioavailability_Ma,20
random,0,0,hybrid,STL,Bioavailability_Ma,60
random,0,1,fixed-final,MTL,hERG,60
