protocol,instance,level,n_distinct_keys,n_collision_groups,test_molecules,test_in_train,test_in_train_frac,test_in_cal,test_in_cal_frac
random,0,L1,26040,269,5328,179,0.033596096096096095,28,0.005255255255255256
random,0,L2,24516,836,5328,587,0.11017267267267267,119,0.022334834834834835
random,1,L1,26040,260,5328,169,0.03171921921921922,19,0.003566066066066066
random,1,L2,24516,839,5328,588,0.11036036036036036,91,0.01707957957957958
random,2,L1,26040,249,5328,165,0.030968468468468468,33,0.006193693693693694
random,2,L2,24516,789,5328,523,0.09816066066066066,133,0.024962462462462462
random,3,L1,26040,249,5328,163,0.030593093093093094,35,0.006569069069069069
random,3,L2,24516,807,5328,580,0.10885885885885886,117,0.02195945945945946
random,4,L1,26040,254,5328,174,0.03265765765765766,24,0.0045045045045045045
random,4,L2,24516,801,5328,575,0.10792042042042042,104,0.01951951951951952
scaffold,0,L1,26040,98,6585,55,0.008352315869400152,11,0.0016704631738800305
scaffold,0,L2,24516,126,6585,98,0.014882308276385725,16,0.0024297646165527716
scaffold,1,L1,26040,90,6004,69,0.011492338441039307,8,0.0013324450366422385
scaffold,1,L2,24516,112,6004,94,0.0156562291805463,16,0.002664890073284477
scaffold,2,L1,26040,105,4783,70,0.014635166213673426,12,0.0025088856366297305
scaffold,2,L2,24516,122,4783,95,0.019862011289985364,18,0.0037633284549445953
scaffold,3,L1,26040,80,4789,50,0.01044059302568386,7,0.0014616830235957402
scaffold,3,L2,24516,110,4789,87,0.018166631864689916,13,0.002714554186677803
scaffold,4,L1,26040,72,4478,55,0.012282268870031265,6,0.0013398838767306833
scaffold,4,L2,24516,100,4478,85,0.01898168825368468,9,0.002009825815096025
