protocol,instance,level,endpoint,test_mols,test_in_train,test_in_cal
random,0,L1,hERG,129,29,7
random,0,L1,AMES,1492,55,10
random,0,L1,BBB_Martins,384,29,2
random,0,L1,Pgp_Broccatelli,252,17,1
random,0,L1,CYP2C9_Veith,2431,58,9
random,0,L1,CYP2D6_Veith,2617,56,6
random,0,L1,CYP3A4_Veith,2497,52,6
random,0,L1,Bioavailability_Ma,126,20,0
random,0,L2,hERG,129,54,16
random,0,L2,AMES,1492,217,44
random,0,L2,BBB_Martins,384,79,22
random,0,L2,Pgp_Broccatelli,252,66,15
random,0,L2,CYP2C9_Veith,2431,171,28
random,0,L2,CYP2D6_Veith,2617,164,22
random,0,L2,CYP3A4_Veith,2497,152,22
random,0,L2,Bioavailability_Ma,126,54,11
random,1,L1,hERG,137,33,3
random,1,L1,AMES,1454,62,7
random,1,L1,BBB_Martins,390,22,5
random,1,L1,Pgp_Broccatelli,259,14,2
random,1,L1,CYP2C9_Veith,2407,42,3
random,1,L1,CYP2D6_Veith,2592,41,1
random,1,L1,CYP3A4_Veith,2465,41,3
random,1,L1,Bioavailability_Ma,134,20,3
random,1,L2,hERG,137,50,7
random,1,L2,AMES,1454,213,29
random,1,L2,BBB_Martins,390,80,9
random,1,L2,Pgp_Broccatelli,259,72,13
random,1,L2,CYP2C9_Veith,2407,165,32
random,1,L2,CYP2D6_Veith,2592,164,27
random,1,L2,CYP3A4_Veith,2465,148,32
random,1,L2,Bioavailability_Ma,134,55,5
random,2,L1,hERG,127,25,4
random,2,L1,AMES,1441,49,10
random,2,L1,BBB_Martins,381,28,4
random,2,L1,Pgp_Broccatelli,246,18,4
random,2,L1,CYP2C9_Veith,2441,48,13
random,2,L1,CYP2D6_Veith,2671,46,14
random,2,L1,CYP3A4_Veith,2507,46,14
random,2,L1,Bioavailability_Ma,116,25,3
random,2,L2,hERG,127,45,9
random,2,L2,AMES,1441,196,44
random,2,L2,BBB_Martins,381,59,21
random,2,L2,Pgp_Broccatelli,246,62,19
random,2,L2,CYP2C9_Veith,2441,147,40
random,2,L2,CYP2D6_Veith,2671,146,38
random,2,L2,CYP3A4_Veith,2507,134,36
random,2,L2,Bioavailability_Ma,116,44,15
random,3,L1,hERG,126,30,3
random,3,L1,AMES,1458,50,17
random,3,L1,BBB_Martins,403,27,7
random,3,L1,Pgp_Broccatelli,243,18,3
random,3,L1,CYP2C9_Veith,2411,46,10
random,3,L1,CYP2D6_Veith,2581,40,7
random,3,L1,CYP3A4_Veith,2466,33,7
random,3,L1,Bioavailability_Ma,126,31,4
random,3,L2,hERG,126,57,10
random,3,L2,AMES,1458,215,50
random,3,L2,BBB_Martins,403,87,23
random,3,L2,Pgp_Broccatelli,243,62,8
random,3,L2,CYP2C9_Veith,2411,150,33
random,3,L2,CYP2D6_Veith,2581,147,25
random,3,L2,CYP3A4_Veith,2466,125,26
random,3,L2,Bioavailability_Ma,126,67,17
random,4,L1,hERG,127,31,4
random,4,L1,AMES,1466,48,7
random,4,L1,BBB_Martins,411,31,7
random,4,L1,Pgp_Broccatelli,249,17,3
