protocol,instance,test_obs,dropped_obs,dropped_frac,delta_all,delta_cal_all,delta_filtered,delta_cal_filtered
random,0,29784,1056,0.035455278001611606,0.2982995697780442,0.0019110839295990376,0.3192079412248968,0.0038705098958184978
random,1,29514,882,0.029884122789184793,0.2924071286888801,-0.005789014601082639,0.29740143744272546,-0.004806213260834669
random,2,29790,948,0.03182275931520644,0.3452690338720835,-0.009702153645932571,0.36374360321758303,-0.006779309807655001
random,3,29442,966,0.03281027104136947,0.3528289690067946,0.0019426882305364815,0.36305790902190926,0.004458524771585407
random,4,29478,996,0.033787909627518826,0.3184271200751336,-0.0032782701661509474,0.3219756797832692,-0.0023485497234738565
scaffold,0,35262,273,0.007742045261187681,0.4216467521812928,0.002213485755854531,0.4176365963942099,0.0035068499535661976
scaffold,1,31779,372,0.011705843481544416,0.3609780801957234,0.00956582055222725,0.37697966783191605,0.011323751988073297
scaffold,2,27339,375,0.013716668495555799,0.4397164972960646,-0.0024124795815183096,0.44788350627134815,-0.0021825653558315587
scaffold,3,26994,255,0.009446543676372527,0.37045836450412034,0.003138409595590845,0.3527361719531317,0.0002859293159703817
scaffold,4,25770,291,0.011292200232828871,0.4270015241388173,-0.0001968039233621894,0.42383060903957737,-0.00024344399560957079
