term,beta,se,ci_lo,ci_hi
intercept,0.3152651894095122,0.0007829706633342778,0.31372941528822496,0.3166483909493415
protocol,0.03134888947808443,0.0013227386822199415,0.0286449198461092,0.03386628223777198
novelty,-0.014646825598279534,0.0012119458399707788,-0.017048503010301544,-0.012253651402113612
protocol:novelty,-0.0055932623304105955,0.0023362880296825647,-0.009845468824227151,-0.0007312081401114316
ep_ep_AMES,0.09620005422014281,0.0007457532193558942,0.09479442129032754,0.09769095377582972
ep_ep_BBB_Martins,0.012888194729269208,0.0008860134585764871,0.011189692871392124,0.014548597440370101
ep_ep_Bioavailability_Ma,0.16672379744937627,0.002529790363786857,0.16179303277228796,0.17192123391738146
ep_ep_CYP2C9_Veith,-0.034596473433991096,0.0005483489658666548,-0.03562551954000742,-0.033473622837957566
ep_ep_CYP2D6_Veith,-0.09012982567431216,0.0005364363935586242,-0.09122726263131742,-0.0890465854048221
ep_ep_CYP3A4_Veith,0.02811877733945625,0.000599395328628099,0.02692388786423777,0.02924094118328438
ep_ep_Pgp_Broccatelli,0.019876740016144884,0.0014142339626903718,0.016776424508459602,0.02234996163538213
ep_ep_hERG,0.11618392476342404,0.0022792586911310605,0.11131376509750489,0.12037759265100922
