endpoint,protocol,point_split,ci_lo,ci_hi
hERG,random,0.3622690775215363,0.23868157235140053,0.4952983312483073
AMES,random,0.3372855249152551,0.30074128214402207,0.3746524326715562
BBB_Martins,random,0.2556017107640366,0.19987330506811668,0.3180688440187496
Pgp_Broccatelli,random,0.3252085082876783,0.24009861292661128,0.4245667493268288
CYP2C9_Veith,random,0.2924213478477915,0.2638346578685776,0.3213978754566694
CYP2D6_Veith,random,0.2231330668935451,0.1975503982386425,0.2476093204518544
CYP3A4_Veith,random,0.3638368983736647,0.3336297418738918,0.39434324664255793
Bioavailability_Ma,random,0.4118147796699899,0.2900980788947572,0.5432808577557522
hERG,scaffold,0.5245197868920805,0.38349396257801566,0.6599051161796148
AMES,scaffold,0.5300305838239489,0.48482294253557295,0.5756389196872522
BBB_Martins,scaffold,0.4099390586889427,0.3255223454723677,0.49431467080105757
Pgp_Broccatelli,scaffold,0.3517298276038126,0.25052997319690645,0.45847412495913736
CYP2C9_Veith,scaffold,0.280238257365425,0.2513361259696079,0.30870376820306733
CYP2D6_Veith,scaffold,0.2410531801164871,0.21407599360432503,0.2684210159694136
CYP3A4_Veith,scaffold,0.341705189918683,0.3138308842882433,0.3736275145726818
Bioavailability_Ma,scaffold,0.5524660648962498,0.38255574288949895,0.7377125152809764
