protocol,endpoint,model,cal_intercept,cal_slope,brier_resolution
random,hERG,STL,0.517,0.033,0.0549
random,hERG,MTL,0.55,0.045,0.0617
random,AMES,STL,0.496,0.037,0.0992
random,AMES,MTL,0.521,0.062,0.0983
random,BBB_Martins,STL,0.541,0.032,0.0814
random,BBB_Martins,MTL,0.57,0.045,0.0857
random,Pgp_Broccatelli,STL,0.458,0.037,0.1315
random,Pgp_Broccatelli,MTL,0.468,0.05,0.1491
random,CYP2C9_Veith,STL,0.495,0.037,0.0785
random,CYP2C9_Veith,MTL,0.501,0.06,0.0739
random,CYP2D6_Veith,STL,0.422,0.034,0.0483
random,CYP2D6_Veith,MTL,0.383,0.05,0.044
random,CYP3A4_Veith,STL,0.499,0.037,0.0963
random,CYP3A4_Veith,MTL,0.51,0.068,0.1001
random,Bioavailability_Ma,STL,0.652,0.021,0.019
random,Bioavailability_Ma,MTL,0.66,0.032,0.0187
scaffold,hERG,STL,0.596,0.026,0.0322
scaffold,hERG,MTL,0.579,0.041,0.0517
scaffold,AMES,STL,0.525,0.031,0.0534
scaffold,AMES,MTL,0.572,0.054,0.0568
scaffold,BBB_Martins,STL,0.586,0.027,0.0474
scaffold,BBB_Martins,MTL,0.611,0.04,0.0599
scaffold,Pgp_Broccatelli,STL,0.478,0.036,0.1083
scaffold,Pgp_Broccatelli,MTL,0.497,0.049,0.1199
scaffold,CYP2C9_Veith,STL,0.473,0.036,0.0682
scaffold,CYP2C9_Veith,MTL,0.489,0.057,0.064
scaffold,CYP2D6_Veith,STL,0.414,0.033,0.0418
scaffold,CYP2D6_Veith,MTL,0.349,0.049,0.0409
scaffold,CYP3A4_Veith,STL,0.489,0.037,0.089
scaffold,CYP3A4_Veith,MTL,0.484,0.064,0.0876
scaffold,Bioavailability_Ma,STL,0.67,0.015,0.0124
scaffold,Bioavailability_Ma,MTL,0.675,0.024,0.0096
