protocol,endpoint,model,logit_intercept,logit_slope
random,hERG,STL,0.122,0.187
random,hERG,MTL,0.258,0.276
random,AMES,STL,0.005,0.222
random,AMES,MTL,0.138,0.395
random,BBB_Martins,STL,0.287,0.221
random,BBB_Martins,MTL,0.366,0.344
random,Pgp_Broccatelli,STL,-0.163,0.238
random,Pgp_Broccatelli,MTL,-0.116,0.39
random,CYP2C9_Veith,STL,-0.07,0.237
random,CYP2C9_Veith,MTL,0.049,0.43
random,CYP2D6_Veith,STL,-0.33,0.245
random,CYP2D6_Veith,MTL,-0.475,0.394
random,CYP3A4_Veith,STL,-0.024,0.232
random,CYP3A4_Veith,MTL,0.057,0.469
random,Bioavailability_Ma,STL,0.693,0.128
random,Bioavailability_Ma,MTL,0.72,0.196
scaffold,hERG,STL,0.478,0.144
scaffold,hERG,MTL,0.398,0.254
scaffold,AMES,STL,0.152,0.159
scaffold,AMES,MTL,0.397,0.294
scaffold,BBB_Martins,STL,0.466,0.17
scaffold,BBB_Martins,MTL,0.541,0.289
scaffold,Pgp_Broccatelli,STL,-0.056,0.214
scaffold,Pgp_Broccatelli,MTL,0.053,0.34
scaffold,CYP2C9_Veith,STL,-0.184,0.226
scaffold,CYP2C9_Veith,MTL,0.006,0.396
scaffold,CYP2D6_Veith,STL,-0.341,0.235
scaffold,CYP2D6_Veith,MTL,-0.707,0.378
scaffold,CYP3A4_Veith,STL,-0.077,0.227
scaffold,CYP3A4_Veith,MTL,-0.089,0.426
scaffold,Bioavailability_Ma,STL,0.728,0.082
scaffold,Bioavailability_Ma,MTL,0.752,0.133
