protocol,endpoint,k,TP_MTL_mean,TP_STL_mean,TP_MTL_min,TP_MTL_max,wins_ties_losses,dUtil_mean,dUtil_min
random,AMES,50,48.93333333333333,48.6,48.0,50.0,5-6-4,2.0,-6.0
random,AMES,100,96.66666666666667,96.4,91.0,99.0,10-1-4,1.6,-36.0
random,AMES,200,190.6,190.33333333333334,187.0,196.0,7-4-4,1.6,-24.0
random,Pgp_Broccatelli,50,49.8,49.6,49.0,50.0,4-9-2,1.2,-6.0
random,Pgp_Broccatelli,100,96.33333333333333,95.8,95.0,98.0,6-9-0,3.2,0.0
random,Pgp_Broccatelli,200,133.2,131.6,128.0,144.0,12-1-2,9.6,-12.0
random,hERG,50,46.8,48.0,45.0,49.0,3-3-9,-7.2,-24.0
random,hERG,100,80.33333333333333,80.2,76.0,85.0,7-3-5,0.8,-30.0
random,hERG,200,89.2,89.2,84.0,97.0,0-15-0,0.0,0.0
scaffold,AMES,50,47.733333333333334,47.06666666666667,44.0,50.0,8-5-2,4.0,-30.0
scaffold,AMES,100,93.86666666666666,92.86666666666666,91.0,97.0,9-2-4,6.0,-42.0
scaffold,AMES,200,181.66666666666666,180.66666666666666,170.0,187.0,9-0-6,6.0,-42.0
scaffold,Pgp_Broccatelli,50,48.333333333333336,47.13333333333333,46.0,50.0,6-7-2,7.2,-6.0
scaffold,Pgp_Broccatelli,100,84.93333333333334,85.13333333333334,74.0,99.0,5-1-9,-1.2,-36.0
scaffold,Pgp_Broccatelli,200,121.8,120.4,89.0,191.0,8-6-1,8.4,-6.0
scaffold,hERG,50,45.86666666666667,45.86666666666667,43.0,50.0,6-3-6,0.0,-18.0
scaffold,hERG,100,81.4,79.8,74.0,88.0,10-3-2,9.6,-18.0
scaffold,hERG,200,90.8,90.8,84.0,97.0,0-15-0,0.0,0.0
