protocol,endpoint,k,model,tp_topk,fp_topk,utility
random,hERG,50,STL,50.0,0.0,-6440.0
random,hERG,50,MTL,50.0,0.0,-6440.0
random,hERG,100,STL,97.0,3.0,-6208.0
random,hERG,100,MTL,99.0,1.0,-6196.0
random,hERG,200,STL,186.0,14.0,-5774.0
random,hERG,200,MTL,195.0,5.0,-5720.0
random,AMES,50,STL,50.0,0.0,-59600.0
random,AMES,50,MTL,50.0,0.0,-59600.0
random,AMES,100,STL,99.0,1.0,-59356.0
random,AMES,100,MTL,99.0,1.0,-59356.0
random,AMES,200,STL,194.0,6.0,-58886.0
random,AMES,200,MTL,199.0,1.0,-58856.0
random,Pgp_Broccatelli,50,STL,50.0,0.0,-9965.0
random,Pgp_Broccatelli,50,MTL,50.0,0.0,-9965.0
random,Pgp_Broccatelli,100,STL,100.0,0.0,-9715.0
random,Pgp_Broccatelli,100,MTL,100.0,0.0,-9715.0
random,Pgp_Broccatelli,200,STL,200.0,0.0,-9215.0
random,Pgp_Broccatelli,200,MTL,200.0,0.0,-9215.0
scaffold,hERG,50,STL,49.0,1.0,-6566.0
scaffold,hERG,50,MTL,50.0,0.0,-6560.0
scaffold,hERG,100,STL,92.0,8.0,-6358.0
scaffold,hERG,100,MTL,100.0,0.0,-6310.0
scaffold,hERG,200,STL,188.0,12.0,-5882.0
scaffold,hERG,200,MTL,197.0,3.0,-5828.0
scaffold,AMES,50,STL,46.0,4.0,-60479.0
scaffold,AMES,50,MTL,50.0,0.0,-60455.0
scaffold,AMES,100,STL,92.0,8.0,-60253.0
scaffold,AMES,100,MTL,98.0,2.0,-60217.0
scaffold,AMES,200,STL,186.0,14.0,-59789.0
scaffold,AMES,200,MTL,193.0,7.0,-59747.0
scaffold,Pgp_Broccatelli,50,STL,48.0,2.0,-9512.0
scaffold,Pgp_Broccatelli,50,MTL,50.0,0.0,-9500.0
scaffold,Pgp_Broccatelli,100,STL,98.0,2.0,-9262.0
scaffold,Pgp_Broccatelli,100,MTL,100.0,0.0,-9250.0
scaffold,Pgp_Broccatelli,200,STL,198.0,2.0,-8762.0
scaffold,Pgp_Broccatelli,200,MTL,200.0,0.0,-8750.0
