protocol,endpoint,k,ratio,P(MTL>=STL),dUtil_mean
random,AMES,50,2,0.7333333333333333,1.0
random,AMES,50,5,0.7333333333333333,2.0
random,AMES,50,10,0.7333333333333333,3.6666666666666665
random,AMES,100,2,0.7333333333333333,0.8
random,AMES,100,5,0.7333333333333333,1.6
random,AMES,100,10,0.7333333333333333,2.933333333333333
random,AMES,200,2,0.7333333333333333,0.8
random,AMES,200,5,0.7333333333333333,1.6
random,AMES,200,10,0.7333333333333333,2.933333333333333
random,Pgp_Broccatelli,50,2,0.8666666666666667,0.6
random,Pgp_Broccatelli,50,5,0.8666666666666667,1.2
random,Pgp_Broccatelli,50,10,0.8666666666666667,2.2
random,Pgp_Broccatelli,100,2,1.0,1.6
random,Pgp_Broccatelli,100,5,1.0,3.2
random,Pgp_Broccatelli,100,10,1.0,5.866666666666666
random,Pgp_Broccatelli,200,2,0.8666666666666667,4.8
random,Pgp_Broccatelli,200,5,0.8666666666666667,9.6
random,Pgp_Broccatelli,200,10,0.8666666666666667,17.6
random,hERG,50,2,0.4,-3.6
random,hERG,50,5,0.4,-7.2
random,hERG,50,10,0.4,-13.2
random,hERG,100,2,0.6666666666666666,0.4
random,hERG,100,5,0.6666666666666666,0.8
random,hERG,100,10,0.6666666666666666,1.4666666666666666
random,hERG,200,2,1.0,0.0
random,hERG,200,5,1.0,0.0
random,hERG,200,10,1.0,0.0
scaffold,AMES,50,2,0.8666666666666667,2.0
scaffold,AMES,50,5,0.8666666666666667,4.0
scaffold,AMES,50,10,0.8666666666666667,7.333333333333333
scaffold,AMES,100,2,0.7333333333333333,3.0
scaffold,AMES,100,5,0.7333333333333333,6.0
scaffold,AMES,100,10,0.7333333333333333,11.0
scaffold,AMES,200,2,0.6,3.0
scaffold,AMES,200,5,0.6,6.0
scaffold,AMES,200,10,0.6,11.0
scaffold,Pgp_Broccatelli,50,2,0.8666666666666667,3.6
scaffold,Pgp_Broccatelli,50,5,0.8666666666666667,7.2
scaffold,Pgp_Broccatelli,50,10,0.8666666666666667,13.2
scaffold,Pgp_Broccatelli,100,2,0.4,-0.6
scaffold,Pgp_Broccatelli,100,5,0.4,-1.2
scaffold,Pgp_Broccatelli,100,10,0.4,-2.2
scaffold,Pgp_Broccatelli,200,2,0.9333333333333333,4.2
scaffold,Pgp_Broccatelli,200,5,0.9333333333333333,8.4
scaffold,Pgp_Broccatelli,200,10,0.9333333333333333,15.4
scaffold,hERG,50,2,0.6,0.0
scaffold,hERG,50,5,0.6,0.0
scaffold,hERG,50,10,0.6,0.0
scaffold,hERG,100,2,0.8666666666666667,4.8
scaffold,hERG,100,5,0.8666666666666667,9.6
scaffold,hERG,100,10,0.8666666666666667,17.6
scaffold,hERG,200,2,1.0,0.0
scaffold,hERG,200,5,1.0,0.0
scaffold,hERG,200,10,1.0,0.0
